codigo,etiqueta
1,""
2,<Null>
3,Abancay - ortogneis
4,Acarí - diorita
5,Acos - tonalita
6,"Altamisa, Tonalita"
7,Alteración
8,Alteración - azufrera
9,Alteración - zona metamorfizada
10,Alteración argílica
11,Alteración hidrotermal
12,Ambar - tonalita
13,Ampituna - granito
14,Andesita
15,Andesita afanítica
16,Andesita basáltica
17,Andesíta basáltica
18,Andesita porfídica
19,Andesita porfirítica
20,Andesita Shuaro
21,Andesita Tunga
22,"Andesita, basalto"
23,"Andesita, brecha andesítica"
24,"Andesita, dacita"
25,"Andesita, dacita porfídica"
26,"Andesita, diabasa"
27,Anfibolita
28,"Anfibolita, andesita"
29,Aplita San Ramón
30,Arapa - granodiorita
31,Arco Volcánico Barroso
32,Arco Volcánico Barroso - Centro Volcánico Apacheta - Evento 1
33,Arco Volcánico Barroso - Centro Volcánico Bencasi - Evento 1
34,Arco Volcánico Barroso - Centro Volcánico Bencasi - Evento 2
35,Arco Volcánico Barroso - Centro Volcánico Cotacucho - Evento 1
36,Arco Volcánico Barroso - Centro Volcánico Cotacucho - Evento 2
37,Arco Volcánico Barroso - Centro Volcánico Llallahua - Evento 3
38,Arco Volcánico Barroso-Centro Volcánico Ccapia - Evento 1
39,Arco Volcánico Barroso-Centro Volcánico Ccapia - Evento 2
40,"Arco Volcánico Barroso-Centro Volcánico Choque, Chilluma"
41,Arco Volcánico Barroso-Centro Volcánico Jilarata - Evento 1
42,Arco Volcánico Barroso-Centro Volcánico Jilarata - Evento 2
43,Arco Volcánico Barroso-Centro Volcánico Queñuta Evento 1
44,Arco Volcánico Barroso-Centro Volcánico Umayo - Evento 2
45,Arco Volcánico Palca - Centro Volcánico Luli - Evento 1
46,Arco Volcánico Palca - Centro Volcánico Luli - Evento 2
47,Arco Volcánico Palca - Centro Volcánico Yanahuara - Evento 1
48,Arco Volcánico Palca - Centro Volcánico Yanahuara - Evento 2
49,Arco Volcánico Palca - Centro Volcánico Yanahuara - Evento 3
50,Arco Volcánico Palca-Centro Volcánico Ocuviri - Evento 1
51,Arco Volcánico Palca-Centro Volcánico Ocuviri - Evento 2
52,Arco Volcánico Palca-Centro Volcánico Ocuviri - Evento 3
53,Arco Volcánico Palca-Centro Volcánico Ocuviri - Evento 4
54,Arco Volcánico Palca-Centro Volcánico Yanahuara - Evento 4
55,Arco Volcánico Palca-Centro Volcánico Yanahuara - Evento 5
56,Arco Volcánico Palca-Centro Volcánico Yanahuara - Evento 6
57,Arco Volcánico Palca-Centro Volcánico Yanahuara - Evento 7
58,Arco Volcánico Palca-Centro Volcánico Yanahuara - Evento 8
59,Arco Volcánico Sillapaca
60,Arco Volcánico Sillapaca - Centro Volcánico Calliata -  Evento 1
61,Arco Volcánico Sillapaca - Centro Volcánico Calliata -  Evento 2
62,Arco Volcánico Sillapaca - Centro Volcánico Calliata -  Evento 3
63,Arco Volcánico Sillapaca - Centro Volcánico Calliata -  Evento 4
64,Arco Volcánico Sillapaca - Centro Volcánico Turputa - Evento 1
65,Arco Volcánico Sillapaca - Centro Volcánico Turputa - Evento 2
66,Arco Volcánico Sillapaca - Centro Volcánico Turputa - Evento 3
67,Arco Volcánico Sillapaca - Centro Volcánico Turputa - Evento 4
68,Arco Volcánico Sillapaca - Centro Volcánico Turputa - Evento 5
69,Arco Volcánico Sillapaca - Centro Volcánico Zapansalla - Evento 2
70,Arco Volcánico Sillapaca - Centro Volcánico Zapansalla - Evento 3
71,Arco Volcánico Sillapaca - Centro Volcánico Zapansalla - Evento 4
72,Arco Volcánico Sillapaca - Centro Volcánico Zapansalla - Evento 5
73,Arco Volcánico Sillapaca - Centro Volcánico Zapansalla - Evento 6
74,Arco Volcánico Sillapaca - Evento 1
75,Arco Volcánico Sillapaca - Evento 2
76,Arco Volcánico Sillapaca - Evento 3
77,Arco Volcánico Sillapaca-Centro Volcánico Chungara - Evento 1
78,Arco Volcánico Sillapaca-Centro volcánico Chungara - Evento 2
79,Arco Volcánico Sillapaca-Centro Volcánico Colquecahua - Evento 1
80,Arco Volcánico Sillapaca-Centro Volcánico Colquecahua - Evento 2
81,Arco Volcánico Sillapaca-Centro Volcánico Colquecahua - Evento 3
82,Arco Volcánico Sillapaca-Centro Volcánico Colquecahua - Evento 4
83,Arco Volcánico Sillapaca-Centro Volcánico Colquecahua - Evento 5
84,Arco Volcánico Sillapaca-Centro Volcánico Colquecahua - Evento 6
85,Arco Volcánico Sillapaca-Centro Volcánico Machu Condori - Evento 1
86,Arco Volcánico Sillapaca-Centro Volcánico Machu Condori - Evento 2
87,Arco Volcánico Sillapaca-Centro Volcánico Machu Condori - Evento 3
88,Arco Volcánico Sillapaca-Centro Volcánico Pilinco - Evento 1
