fuente,id,lon,lat,taxon,clase,max_ma,formacion,era
PBDB,5.84489540343111e-319,-74.566666,-7.15,Hyalostelia,Hexactinellida,461.1,Contaya,Paleozoico
PBDB,5.8449448099957e-319,-74.566666,-7.15,"","",461.1,Contaya,Paleozoico
PBDB,5.84499421656028e-319,-74.566666,-7.15,Anebolithus tafuri,Trilobita,461.1,Contaya,Paleozoico
PBDB,5.84504362312487e-319,-74.566666,-7.15,Cryptophyllus,Ostracoda,461.1,Contaya,Paleozoico
PBDB,5.84509302968945e-319,-74.566666,-7.15,Didymograptus murchisoni,Pterobranchia,461.1,Contaya,Paleozoico
PBDB,5.84514243625404e-319,-74.566666,-7.15,"","",461.1,Contaya,Paleozoico
PBDB,5.84519184281862e-319,-74.566666,-7.15,Glyptograptus,Pterobranchia,461.1,Contaya,Paleozoico
PBDB,5.8452412493832e-319,-74.566666,-7.15,Lingulella,Lingulata,461.1,Contaya,Paleozoico
PBDB,5.84529065594779e-319,-74.566666,-7.15,Obolus,Lingulata,461.1,Contaya,Paleozoico
PBDB,5.84534006251237e-319,-74.566666,-7.15,"","",461.1,Contaya,Paleozoico
PBDB,5.84538946907696e-319,-74.566666,-7.15,Porterfieldia contayaensis,Trilobita,461.1,Contaya,Paleozoico
PBDB,5.84543887564154e-319,-74.566666,-7.15,Pseudoclimacograptus,Pterobranchia,461.1,Contaya,Paleozoico
PBDB,5.84548828220612e-319,-74.566666,-7.15,Pseudolingula,Lingulata,461.1,Contaya,Paleozoico
PBDB,5.84553768877071e-319,-74.566666,-7.15,Sinuites,Gastropoda,461.1,Contaya,Paleozoico
PBDB,5.84558709533529e-319,-74.566666,-7.15,Tissintia simplex,Rhynchonellata,461.1,Contaya,Paleozoico
PBDB,7.45209094935269e-319,-80.914444,-5.1225,Metaxytherium crataegense,Mammalia,20.45,Montera,Cenozoico
PBDB,1.05254262993082e-318,-71.366699,-11.9,Pecari tajacu,Mammalia,0.0117,"",Cenozoico
PBDB,1.05254757058727e-318,-71.366699,-11.9,Leopardus pardalis,Mammalia,0.0117,"",Cenozoico
PBDB,1.05255251124373e-318,-71.366699,-11.9,Puma yagouaroundi,Mammalia,0.0117,"",Cenozoico
PBDB,1.05255745190019e-318,-71.366699,-11.9,Eira barbara,Mammalia,0.0117,"",Cenozoico
PBDB,1.05256239255665e-318,-71.366699,-11.9,Galictis vittata,Mammalia,0.0117,"",Cenozoico
PBDB,1.05256733321311e-318,-71.366699,-11.9,Lontra longicaudis,Mammalia,0.0117,"",Cenozoico
PBDB,1.05257227386957e-318,-71.366699,-11.9,Pteronura brasiliensis,Mammalia,0.0117,"",Cenozoico
PBDB,1.05257721452603e-318,-71.366699,-11.9,Bassaricyon gabbii,Mammalia,0.0117,"",Cenozoico
PBDB,1.05258215518248e-318,-71.366699,-11.9,Nasua nasua,Mammalia,0.0117,"",Cenozoico
PBDB,1.05258709583894e-318,-71.366699,-11.9,Potos flavus,Mammalia,0.0117,"",Cenozoico
PBDB,1.0525920364954e-318,-71.366699,-11.9,Sylvilagus brasiliensis,Mammalia,0.0117,"",Cenozoico
PBDB,1.05259697715186e-318,-71.366699,-11.9,Caluromys lanatus,Mammalia,0.0117,"",Cenozoico
PBDB,1.05260191780832e-318,-71.366699,-11.9,Didelphis marsupialis,Mammalia,0.0117,"",Cenozoico
PBDB,1.05260685846478e-318,-71.366699,-11.9,Philander opposum,Mammalia,0.0117,"",Cenozoico
