Feature,Gain,Cover,Frequency,nombre
exposicion,0.218329836583817,0.10443983087158,0.10290404040404,Exposición de roca
elevacion,0.168631384534104,0.146464325224665,0.155776515151515,Elevación
woe_uni,0.157218469674653,0.135185412036654,0.0980113636363636,Unidad geológica (WoE)
dist_vias_km,0.112569963763883,0.113557084920655,0.0961174242424242,Distancia a vías
pendiente,0.0746446776310205,0.122913270136397,0.126736111111111,Pendiente
rugosidad,0.0674611937542827,0.121198997008564,0.118686868686869,Rugosidad del terreno
dist_poblados_km,0.0640160824109267,0.0861827483547713,0.0850694444444445,Distancia a poblados
dist_rios_km,0.0605999265182929,0.084162175047259,0.101957070707071,Distancia a ríos
log_edad,0.0380379307790637,0.0517375165070591,0.0691287878787879,Edad (log Ma)
ambSin dato,0.0212701951201753,0.0154328947579577,0.0149936868686869,Ambiente sin dato
eraMesozoico,0.00642659730052277,0.00597487004611707,0.00726010101010101,Era mesozoica
ambMarino,0.00367027728024382,0.0045742979905658,0.00741792929292929,Ambiente marino
