decil,obs,raw,platt,n
1,9.28505106778087e-05,0.000894888324772585,7.74584670343126e-07,161550
2,0.00014237518957566,0.00246848223554603,2.52023345566417e-06,161545
3,0.000321911660011762,0.00484295425184966,5.54186757935105e-06,161535
4,0.000266187941067228,0.00884384619159943,1.12336922785276e-05,161540
5,0.000495218050697948,0.0163925673299995,2.32245382192297e-05,161545
6,0.000736659650860468,0.0313341883740758,5.04017854006929e-05,161540
7,0.00110192837465565,0.0611892951615105,0.000115029251275949,161535
8,0.00162807973257398,0.124315715071943,0.000290469151236099,161540
9,0.00270521233131113,0.271043587189965,0.000938980626519415,161540
10,0.0141442277932529,0.644233350437037,0.017429481113054,161550
