modelo,AUC,AUC_sd,TSS,Boyce,escenario
Gradient Boosting,0.866763149922917,0.0591654349318734,0.591982498070849,0.930361208803266,MODELO NACIONAL (todas las localidades)
Random Forest,0.862878815594066,0.0505884574123791,0.582661309914739,0.929005120893536,MODELO NACIONAL (todas las localidades)
MaxEnt,0.835541436734423,0.0706805873835597,0.534604666685514,0.942749417862815,MODELO NACIONAL (todas las localidades)
Base geológico,0.759028536283256,0.0614217399255018,0.430534223185347,0.865920211744441,MODELO NACIONAL (todas las localidades)
Gradient Boosting,0.83385570032896,0.0435437244527598,0.563927301794126,0.778081715238265,MODELO ESTRATIFICADO AL MESOZOICO
MaxEnt,0.826178033889878,0.0411964086070483,0.590499836796806,0.846346063829552,MODELO ESTRATIFICADO AL MESOZOICO
Random Forest,0.822618227232166,0.0257459011217745,0.556589844169816,0.717692761375648,MODELO ESTRATIFICADO AL MESOZOICO
Base geológico,0.736111966355178,0.0686317624928836,0.436024352977209,0.759755668458351,MODELO ESTRATIFICADO AL MESOZOICO
Gradient Boosting,0.869038067618194,0.0582840282250983,0.600203592978007,0.875517699344576,NACIONAL — sensibilidad: con las 15 sospechosas
Random Forest,0.865625483684561,0.0573113224814354,0.580952503281053,0.916493684347487,NACIONAL — sensibilidad: con las 15 sospechosas
MaxEnt,0.83797325126937,0.0689654772541007,0.538695050506697,0.940897001753773,NACIONAL — sensibilidad: con las 15 sospechosas
Base geológico,0.765683000270082,0.064542731894697,0.435679776337457,0.844042070855558,NACIONAL — sensibilidad: con las 15 sospechosas
