fuente,id,lon,lat,sitio,precision,formacion,max_ma,dist_km,pais,rango
PBDB,338740,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338741,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338742,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338743,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338744,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338745,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338746,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338747,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338748,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338749,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338750,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338751,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338752,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,338753,-80,-3,"",degrees,"",23.04,54.06,,20-100 km
PBDB,426885,-76.345276,-13.800556,Pisco,seconds,Otuma,33.9,0.31,PER,< 1 km (borde)
PBDB,426886,-76.345276,-13.800556,Pisco,seconds,Otuma,33.9,0.31,PER,< 1 km (borde)
PBDB,426887,-76.345276,-13.800556,Pisco,seconds,Otuma,33.9,0.31,PER,< 1 km (borde)
PBDB,426888,-76.345276,-13.800556,"",seconds,Otuma,33.9,0.31,PER,< 1 km (borde)
PBDB,426889,-76.345276,-13.800556,"",seconds,Otuma,33.9,0.31,PER,< 1 km (borde)
PBDB,426890,-76.345276,-13.800556,"",seconds,Otuma,33.9,0.31,PER,< 1 km (borde)
PBDB,426891,-76.345276,-13.800556,"",seconds,Otuma,33.9,0.31,PER,< 1 km (borde)
PBDB,426892,-76.345276,-13.800556,"",seconds,Otuma,33.9,0.31,PER,< 1 km (borde)
PBDB,437995,-78.077782,-11.065,"",seconds,"",2.58,44.34,,20-100 km
PBDB,437996,-78.077782,-11.065,"",seconds,"",2.58,44.34,,20-100 km
PBDB,437997,-79.90583,-8.993056,"",seconds,"",2.58,113.1,,100-500 km
PBDB,437998,-79.90583,-8.993056,"",seconds,"",2.58,113.1,,100-500 km
PBDB,437999,-79.90583,-8.993056,"",seconds,"",2.58,113.1,,100-500 km
PBDB,438000,-76.891388,-13.480278,"",seconds,"",2.58,55.32,,20-100 km
PBDB,438001,-76.891388,-13.480278,"",seconds,"",2.58,55.32,,20-100 km
PBDB,438002,-76.891388,-13.480278,"",seconds,"",2.58,55.32,,20-100 km
PBDB,438006,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438007,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438008,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438009,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438010,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438011,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438012,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438013,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438014,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438015,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438016,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438017,-78.94278,-11.537778,"",seconds,"",56,131.42,,100-500 km
PBDB,438018,-78.077782,-11.065,"",seconds,"",2.58,44.34,,20-100 km
PBDB,438019,-79.90583,-8.993056,"",seconds,"",2.58,113.1,,100-500 km
PBDB,438020,-76.891388,-13.480278,"",seconds,"",2.58,55.32,,20-100 km
PBDB,517777,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517778,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517779,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517780,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517781,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517782,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517783,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517784,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517785,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517786,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517787,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517788,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517789,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517790,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517791,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517792,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517793,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517794,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517795,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517796,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517797,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
PBDB,517798,-81.297501,-4.7425,"",seconds,Verdun,41.03,1.75,,1-5 km
