unidad,n_pres,woe_medio,woe_min,woe_max,amplitud
Formación Chilcatay,24,5.24,5.13,5.35,0.22
Grupo Los Choros - Formación Yumaque,18,4.89,4.75,5.2,0.45
Formación Zorritos,6,4.39,4.3,4.52,0.22
Grupo Talara,18,4.01,3.47,5.68,2.21
Formación Pisco,50,3.98,3.69,4.42,0.73
Formación Heath,5,3.56,3.43,3.68,0.25
Formación Tablazo Máncora,8,3.34,3.2,3.59,0.39
Depósito marino,8,3.2,2.82,3.48,0.66
Depósito residual,23,3,2.57,3.26,0.69
Formación Verdún,6,2.96,2.5,3.48,0.98
Formación Tablazo Talara,9,2.35,0.62,3.16,2.54
Depósito antropógeno,6,1.66,0.93,2.26,1.33
Complejo Basal de la Costa,7,1.42,0.86,1.76,0.9
Grupo Goyllarisquizga - Formación Chimú,7,1.37,1.03,1.72,0.69
Depósito fluvial,37,1.36,1.19,1.57,0.38
Río,13,1.24,0.97,1.48,0.51
Depósito eólico,31,1.19,0.87,1.55,0.68
Grupo Pucará - Formación Chambará,10,1.15,0.67,1.79,1.12
Formación Moquegua - Miembro Superior,6,1.09,0.68,1.24,0.56
Depósito coluvial,5,1.03,0.5,1.41,0.91
Batolito de San Nicolás,11,0.46,0.08,1.34,1.26
Depósito aluvial,120,0.26,0.18,0.39,0.21
Sin denominación,6,-0.14,-0.46,0.21,0.67
Formación Yahuarango,5,-0.55,-1.4,-0.06,1.34
Formación Chambira,8,-0.86,-1.2,-0.56,0.64
Formación Ipururo - Miembro medio,6,-0.92,-1.81,-0.63,1.18
Formación Pebas,13,-1.18,-1.55,-0.97,0.58
Formación Ipururo,6,-1.7,-1.85,-1.5,0.35
