rep,fold,obs_AUC,obs_TSS,obs_PR,neu_AUC,neu_TSS,neu_PR,sin_AUC,sin_TSS,sin_PR,ale_AUC,ale_TSS,cambio_decil,cor_vias_obs,cor_vias_neu
1,1,0.903312396913555,0.657644461657071,0.0731321120874395,0.846954771419443,0.557143949244868,0.059996729628426,0.887051332812627,0.623096267865012,0.0697830517071365,0.890294961171585,0.616516165510933,47.7818717759764,-0.643993210391533,0.0506138672706456
1,2,0.834556742367555,0.561441552493342,0.0273177315937799,0.804633168913693,0.510107378527687,0.0415993876020448,0.830584000718747,0.527187670223333,0.0332944248110353,0.893313750479487,0.630800506165476,33.3173384516955,-0.566178963454958,-0.12646922113616
1,3,0.899560995784329,0.628699296680092,0.095890615348367,0.868928655489935,0.575568331477872,0.0810908558162919,0.878843518161802,0.601671737376683,0.0820122203659255,0.888797384200444,0.65868956061063,35.3431874725596,-0.604520718471869,-0.247724632800173
1,4,0.908193057353965,0.689977692593685,0.0315860315943402,0.875751165583347,0.63703008081093,0.0455443646946217,0.879223770635419,0.652051469425606,0.0285863606395048,0.921145206022588,0.725115760641989,39.1554387117976,-0.582048276320284,-0.0220279152677593
1,5,0.76469902209502,0.402559918835953,0.008144233141633,0.686851361813969,0.340452132894166,0.00472972975381786,0.710711582731544,0.371009896489742,0.00510990191710289,0.895990407768523,0.679984511074394,31.7752596789424,-0.517100886342758,-0.178795208233136
2,1,0.899373998885026,0.63973426685389,0.0868008724409146,0.835541898442137,0.552109328065693,0.0670187472920808,0.882601856800081,0.627616890202434,0.0697716961858621,0.904396098105553,0.655112179087183,45.8806190125276,-0.646591513740377,0.068033063405112
2,2,0.847117849991738,0.602271592093533,0.0343483883422541,0.814652588902522,0.527342225941612,0.0425179904544894,0.831780472450443,0.529151658740974,0.0349246092619441,0.89466836846895,0.664158335605071,33.6692258477287,-0.588383898223898,-0.192606457300768
2,3,0.900949254322754,0.637563911267406,0.101411579597102,0.869269136942215,0.591355503426095,0.0850642440967644,0.873999402387191,0.586187502457168,0.101379632691465,0.913396062388628,0.704361438796618,39.4409483389434,-0.611179802031568,-0.248437815375472
2,4,0.907752785220702,0.702026042401166,0.0464510029580516,0.859816220304868,0.614012640863579,0.0409971662670764,0.8816335688004,0.648064127382982,0.0460378790161117,0.884300934169415,0.611399356930976,35.9513637857378,-0.486856757958209,-0.0144810655528733
2,5,0.782016927662434,0.433508061490683,0.0112374580952349,0.697753091225823,0.349145950660002,0.00703951267664921,0.724153290656239,0.366589859496161,0.00682152759202131,0.893877380878521,0.655900580441466,34.8914069877243,-0.551216615309995,-0.123941012781744
3,1,0.902186532465875,0.663661789194846,0.0780265205887428,0.850602526073163,0.585592093923246,0.0546925571521282,0.883320604163196,0.62023678420054,0.0586430090038129,0.882117431853496,0.648146416468439,43.581429624171,-0.66248113980174,-0.042747476653808
3,2,0.845080117663394,0.610127546164097,0.0262851739452847,0.810672622088023,0.505479188695569,0.0384353126678432,0.832617256585739,0.545393202941082,0.0327717154977163,0.904525341254195,0.669404553279261,35.4766474728087,-0.55362177693818,-0.12152709164109
3,3,0.901135685620552,0.638542279114686,0.107638932179742,0.870483687980614,0.59557958300316,0.0926679436276321,0.875500404838053,0.604498412033157,0.0987067910288918,0.902856097189808,0.653547609096012,38.1969852187912,-0.584270360732618,-0.129368109555073
3,4,0.904115545527194,0.692054802716205,0.047275456195778,0.859333854694171,0.616996363294488,0.0437943720541813,0.875847425033012,0.666047871181139,0.0519868050234854,0.897777132696388,0.677038766244757,41.4722313506408,-0.548766715370581,-0.0306501645574596
3,5,0.774105091347613,0.42791579991279,0.0102142819454927,0.686615938230941,0.341795352205642,0.00517887447537016,0.715159620451513,0.356227687770696,0.00515432533227278,0.895809478006677,0.669650189123457,34.0415486307838,-0.534365419604732,-0.170436223359983
4,1,0.908322353071841,0.668458126078644,0.0706990714468294,0.848068411536595,0.568426321183286,0.0533576403321176,0.880262430052669,0.613407097612181,0.06037202215191,0.900494654264699,0.666431286595053,43.9498894620486,-0.639910861458592,0.0784304259308481
4,2,0.845530669571812,0.596909262599589,0.0261302985049682,0.803900678474472,0.515133266610499,0.026340409508592,0.834603077669275,0.538971601329179,0.0273603049482865,0.915732815047205,0.730180208123323,38.3077415227127,-0.589895934438054,-0.135858943610572
