design,rep,fold,model,AUC,TSS,PR_AUC,Boyce
National,1,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,1,1,MaxEnt,0.876097359039766,0.608440413420368,0.0536043872452333,0.905779260083296
National,1,1,Random forest,0.898283112610244,0.645632452243976,0.0783533319500771,0.983333333333333
National,1,1,Gradient boosting,0.903939119227971,0.651567058205843,0.0816615886303527,0.924016426393698
National,1,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,1,2,MaxEnt,0.824804025234048,0.517395057609702,0.014841775921096,0.896358126979083
National,1,2,Random forest,0.853618300150975,0.586664291786117,0.0299275579586613,0.878787878787879
National,1,2,Gradient boosting,0.832547675098749,0.554788117304021,0.0328961084094848,0.861640436855329
National,1,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,1,3,MaxEnt,0.879262887160272,0.602521908351333,0.0862231024863475,0.966569814451303
National,1,3,Random forest,0.893068392146415,0.614430055365854,0.0946534971117095,0.951515151515151
National,1,3,Gradient boosting,0.900118482529636,0.622681124736516,0.110511621713661,0.957334870310994
National,1,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,1,4,MaxEnt,0.879148771596945,0.600837382426721,0.0313213629783904,0.97553355943236
National,1,4,Random forest,0.888255492450952,0.647001320495891,0.0364127622572391,0.837909235304168
National,1,4,Gradient boosting,0.911559680858792,0.678992149673295,0.0468525657000113,0.97553355943236
National,1,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,1,5,MaxEnt,0.719351981635873,0.340069637534675,0.00462364424736482,0.951515151515151
National,1,5,Random forest,0.773835618337594,0.39185575765616,0.0090710349478132,0.933333333333333
National,1,5,Gradient boosting,0.778734590085677,0.425807589882332,0.00985762563717519,0.948332648140901
National,2,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,2,1,MaxEnt,0.876601549569119,0.607710775945691,0.0532354690396669,0.869304927462492
National,2,1,Random forest,0.896872230143396,0.636650273803368,0.0854889694141619,0.970719794156639
National,2,1,Gradient boosting,0.898632461619569,0.644447882161781,0.070895284791176,0.915151515151515
National,2,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,2,2,MaxEnt,0.827682311349353,0.516192538728459,0.0168588170203484,0.896358126979083
National,2,2,Random forest,0.856859415239068,0.593858671989415,0.0298742834470026,0.878787878787879
National,2,2,Gradient boosting,0.845169332752807,0.589648913492149,0.0356292479087908,0.721742912693948
National,2,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,2,3,MaxEnt,0.881007485797476,0.602576122794016,0.0845755587193037,0.966569814451303
National,2,3,Random forest,0.892876502523775,0.621594328003869,0.0895119344345815,0.84498870571529
National,2,3,Gradient boosting,0.899260271590017,0.626594596125637,0.100528905017888,0.917937370956898
National,2,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,2,4,MaxEnt,0.879260735973471,0.594923355683474,0.0317460515880286,0.963262697049563
National,2,4,Random forest,0.88904063195771,0.658013999820515,0.0404601251369524,0.889637522752781
National,2,4,Gradient boosting,0.906169365350017,0.686961919291633,0.0396056837267237,0.94727181327905
National,2,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,2,5,MaxEnt,0.716764632962129,0.337790432777052,0.00451433413531688,0.93904184731142
National,2,5,Random forest,0.772392085744205,0.391723365872171,0.00934684200014279,0.983333333333333
National,2,5,Gradient boosting,0.788143581744179,0.441045422071532,0.0118387201765414,0.932944172978229
National,3,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,3,1,MaxEnt,0.874579378455898,0.607807272430925,0.0519851698004064,0.905779260083296
National,3,1,Random forest,0.896767115324839,0.652967266920962,0.0868344377301809,0.928878423718853
National,3,1,Gradient boosting,0.902502562061015,0.655752899762653,0.0853666383420391,0.963636363636364
National,3,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,3,2,MaxEnt,0.828396189133476,0.531413449740177,0.0179979186553726,0.856305150653836
National,3,2,Random forest,0.858751858909477,0.578471896304422,0.0335817974967602,0.875383982899293
National,3,2,Gradient boosting,0.837102749395442,0.571454689729396,0.0340659423651942,0.795140497035705
National,3,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,3,3,MaxEnt,0.878947632020097,0.606583344600348,0.0820959525826322,0.978727925324904
National,3,3,Random forest,0.895327548541657,0.609740395432031,0.0882806252687173,0.960490759014502
National,3,3,Gradient boosting,0.897367597451198,0.620615960156589,0.103119055401577,0.978727925324904
National,3,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,3,4,MaxEnt,0.87784237808917,0.593941103319188,0.0311249324356937,0.97553355943236
National,3,4,Random forest,0.898675871676859,0.673979820771529,0.0380570351277589,0.816012348455999
National,3,4,Gradient boosting,0.908850741229813,0.691029815857062,0.0447055759961622,0.947804480540862
National,3,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,3,5,MaxEnt,0.720840097910113,0.355812570205705,0.00468707014050696,0.939393939393939
National,3,5,Random forest,0.772554313253641,0.392987476335308,0.008739575905658,0.95
National,3,5,Gradient boosting,0.772867554389372,0.403382270266274,0.0116078023226623,0.972648869888103
National,4,1,Geological baseline,0.790370545060902,0.470753126940477,0.0324352361709399,0.883333333333333
National,4,1,MaxEnt,0.877454295788412,0.607926414578614,0.0536384022955546,0.905779260083296
National,4,1,Random forest,0.896997574606279,0.63174265584579,0.0884082546678435,0.933333333333333
National,4,1,Gradient boosting,0.901590821727431,0.653972618942015,0.0818397703308156,0.893621149209695
National,4,2,Geological baseline,0.78693779572132,0.495835477322718,0.0146394942480608,0.883333333333333
National,4,2,MaxEnt,0.82873969864148,0.525223681705692,0.0177268825577261,0.871967429646319
National,4,2,Random forest,0.855677550907575,0.606304176962528,0.0339817020982754,0.9422535927041
National,4,2,Gradient boosting,0.836454133705775,0.577423933141458,0.0294772596386517,0.73011631177642
National,4,3,Geological baseline,0.784453407407227,0.460190260976525,0.0330354386440711,0.8
National,4,3,MaxEnt,0.879593632141213,0.604552626475841,0.0821826269482239,1
National,4,3,Random forest,0.893935233140175,0.612251372381452,0.0964177815574186,0.972648869888103
National,4,3,Gradient boosting,0.89991667203279,0.634589271751037,0.0853091335018062,0.987878787878788
National,4,4,Geological baseline,0.784135032456849,0.456905039678979,0.0085258654731436,0.920510149631295
National,4,4,MaxEnt,0.879758379166079,0.593839181548955,0.0318626992833725,0.97553355943236
National,4,4,Random forest,0.892323175343906,0.648997876095606,0.0349487013368106,0.911858315520097
National,4,4,Gradient boosting,0.906680790417217,0.688018957021919,0.0466589774388338,0.97553355943236
National,4,5,Geological baseline,0.649244891090767,0.268987211008037,0.00331094205248772,0.842424242424242
National,4,5,MaxEnt,0.719793061039409,0.346776762985541,0.00466513096084677,0.945139521644611
National,4,5,Random forest,0.772619557664642,0.394534312579449,0.00977133457526487,0.866666666666667
National,4,5,Gradient boosting,0.774115829490256,0.423495762919209,0.00901418088944879,0.948332648140901
