celda,x,y,uni,era,amb
262516,-455667.409941312,345367.682376007,Plutón Rushos,Cenozoico,Sin dato
340522,-347625.306907614,121419.71139023,Batolito de la Costa,Mesozoico,Sin dato
529935,-145546.558640883,-422453.932432371,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
530632,-143545.778955073,-424453.467887601,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
532027,-137543.439897646,-428452.538798061,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
532717,-149548.118012501,-430452.074253291,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
534812,-135542.660211836,-436450.680618982,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
549442,-107531.744610507,-478440.925178815,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
553626,-91525.5071240335,-490438.137910196,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
555708,-103530.185238889,-496436.744275886,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
559887,-97527.8461814612,-508433.957007267,Batolito de San Nicolás,Cenozoico,Sin dato
562686,-67516.1508943229,-516432.098828188,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
584984,-15495.8790632831,-580417.233395553,Batolito de San Nicolás,Paleozoico_o_mas,Sin dato
630330,196586.767632495,-710387.037985512,"Complejo Basal de la Costa - gneis, esquisto",Sin dato,Sin dato
630348,232600.801977061,-710387.037985512,Batolito Atico Camaná,Paleozoico_o_mas,Sin dato
