celda,x,y,era,amb,uni,prosp_media
130905,-589719.64889053,723279.883414505,Cenozoico,Continental,Depósito fluvial,0.893892967700958
131600,-591720.428576339,721280.347959275,Cenozoico,Marino,Depósito marino,0.953930163383484
131605,-581716.530147293,721280.347959275,Cenozoico,Marino,Depósito marino,0.954369008541107
132295,-593721.208262148,719280.812504045,Cenozoico,Marino,Depósito marino,0.955194807052612
133685,-597722.767633767,715281.741593585,Cenozoico,Marino,Depósito marino,0.962455666065216
134375,-609727.445748622,713282.206138354,Cenozoico,Marino,Depósito marino,0.951410067081451
134376,-607726.666062813,713282.206138354,Cenozoico,Marino,Depósito marino,0.953930163383484
134377,-605725.886377004,713282.206138354,Cenozoico,Marino,Depósito marino,0.951410067081451
134378,-603725.106691195,713282.206138354,Cenozoico,Marino,Depósito marino,0.954859483242035
134379,-601724.327005385,713282.206138354,Cenozoico,Marino,Depósito marino,0.951410067081451
135765,-613729.005120241,709283.135227894,Cenozoico,Marino,Depósito marino,0.962086725234985
136461,-613729.005120241,707283.599772664,Cenozoico,Marino,Depósito marino,0.949398910999298
137156,-615729.78480605,705284.064317434,Cenozoico,Marino,Depósito marino,0.955432987213135
138547,-617730.564491859,701284.993406973,Cenozoico,Marino,Depósito marino,0.957372307777405
138550,-611728.225434432,701284.993406973,Cenozoico,Transicional,Formación Tumbes,0.913827884197235
139242,-619731.344177668,699285.457951743,Cenozoico,Transicional,Formación Tumbes,0.910800552368164
139246,-611728.225434432,699285.457951743,Cenozoico,Transicional,Formación Zorritos,0.981689989566803
139247,-609727.445748622,699285.457951743,Cenozoico,Transicional,Formación Zorritos,0.977918207645416
139248,-607726.666062813,699285.457951743,Cenozoico,Transicional,Formación Zorritos,0.976816141605377
139251,-601724.327005385,699285.457951743,Cenozoico,Transicional,Formación Zorritos,0.977999937534332
139252,-599723.547319576,699285.457951743,Cenozoico,Transicional,Formación Zorritos,0.967434823513031
139936,-623732.903549287,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.984265065193176
139937,-621732.123863478,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.979002749919891
139938,-619731.344177668,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.981032955646515
139939,-617730.564491859,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.975187265872955
139940,-615729.78480605,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.970126903057098
139941,-613729.005120241,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.972983026504517
139942,-611728.225434432,697285.922496513,Cenozoico,Transicional,Formación Zorritos,0.975721180438995
139944,-607726.666062813,697285.922496513,Cenozoico,Transicional,Formación Tumbes,0.912968194484711
140630,-627734.462920905,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.98245040178299
140631,-625733.683235096,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.983602428436279
140632,-623732.903549287,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.97964129447937
140633,-621732.123863478,695286.387041283,Cenozoico,Marino,Formación Heath,0.967632448673248
140634,-619731.344177668,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.975498247146606
140635,-617730.564491859,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.972015917301178
140636,-615729.78480605,695286.387041283,Cenozoico,Transicional,Formación Zorritos,0.967773580551147
140640,-607726.666062813,695286.387041283,Cenozoico,Transicional,Formación Tumbes,0.918788194656372
141324,-631736.022292524,693286.851586053,Cenozoico,Marino,Formación Heath,0.974499869346619
141325,-629735.242606715,693286.851586053,Cenozoico,Transicional,Formación Zorritos,0.980945312976837
141326,-627734.462920905,693286.851586053,Cenozoico,Transicional,Formación Zorritos,0.97868264913559
141327,-625733.683235096,693286.851586053,Cenozoico,Transicional,Formación Zorritos,0.983419322967529
141336,-607726.666062813,693286.851586053,Cenozoico,Transicional,Formación Tumbes,0.920830881595612
142018,-635737.581664142,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.974446415901184
142019,-633736.801978333,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.985772967338562
142020,-631736.022292524,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.975417840480804
142021,-629735.242606715,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.979971444606781
142022,-627734.462920905,691287.316130823,Cenozoico,Marino,Formación Heath,0.948568367958069
142025,-621732.123863478,691287.316130823,Cenozoico,Marino,Formación Cardalitos,0.962564480304718
142031,-609727.445748622,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.967420482635498
142032,-607726.666062813,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.981882858276367
142034,-603725.106691195,691287.316130823,Cenozoico,Transicional,Formación Zorritos,0.976288866996765
142712,-639739.141035761,689287.780675593,Cenozoico,Transicional,Formación Zorritos,0.983489954471588
142715,-633736.801978333,689287.780675593,Cenozoico,Marino,Formación Heath,0.963413977622986
142716,-631736.022292524,689287.780675593,Cenozoico,Marino,Formación Heath,0.974393224716187
142718,-627734.462920905,689287.780675593,Cenozoico,Marino,Formación Cardalitos,0.980112540721893
142724,-615729.78480605,689287.780675593,Cenozoico,Marino,Formación Cardalitos,0.966175055503845
