lado_km,bloques,rep,fold,n_pres_test,base_AUC,obs_AUC,neu_AUC,obs_TSS,obs_PR,cambio_decil
50,603,1,1,112,0.815360717979364,0.88692194380801,0.861306689254897,0.615989837501461,0.048156592492664,36.502311248074
50,603,1,2,168,0.753806721471179,0.873009168350249,0.833469817926103,0.617820438218156,0.0977238873602147,35.8490566037736
50,603,1,3,113,0.793422925749884,0.903397466017671,0.847943771079919,0.644755727394031,0.0964367769436017,36.1063060229596
50,603,1,4,193,0.69009479750027,0.845749800996034,0.793593169248371,0.560093733662116,0.0441579811713239,31.4909206753743
50,603,1,5,113,0.79460841800784,0.876345408160666,0.834627866170254,0.6179675061218,0.0339577451538107,39.8820326678766
50,603,2,1,83,0.670892914651361,0.814543769706384,0.760340357772068,0.482910141985998,0.00794667945397919,44.4966245964191
50,603,2,2,133,0.760396224748033,0.879047735634064,0.850285516774561,0.650342049770296,0.0344755380335327,40.2609223300971
50,603,2,3,155,0.796500254514266,0.884612695032141,0.847627737771611,0.63887433968241,0.0718227928089229,28.6924380101648
50,603,2,4,200,0.806072679719743,0.919950411107912,0.896731532136801,0.711269795565793,0.14240580562409,34.7576530612245
50,603,2,5,128,0.705824432764023,0.811843741329786,0.703233122664142,0.492836490991138,0.0128024326192933,44.5041524181729
50,603,3,1,82,0.685690789413961,0.822696590943339,0.66324957905596,0.553111209475626,0.00593256738350765,50.9217960154624
50,603,3,2,79,0.700661579303286,0.848932822481476,0.757923982042791,0.583527097137998,0.0178666807564477,42.5750272119422
50,603,3,3,120,0.748480372339874,0.852841721864602,0.81263896663246,0.568724538980626,0.0292809531000205,39.4165114835506
50,603,3,4,254,0.801473454114809,0.901362332251807,0.88627667421364,0.658732582737405,0.111072598523409,28.8863673204733
50,603,3,5,164,0.76097208639688,0.891363713848652,0.855232272549873,0.665513397363144,0.0518622244031532,32.0593181470723
50,603,4,1,155,0.843951879956262,0.906264967108777,0.874371502819109,0.637413838979644,0.112390671787118,34.2942942942943
50,603,4,2,167,0.822686267080048,0.896291021814287,0.873984094854281,0.655904939121991,0.0354488295629855,49.6402877697842
50,603,4,3,138,0.719432235389227,0.844408795586599,0.783132288251779,0.535743974245962,0.0803874824336856,38.0158853761096
50,603,4,4,128,0.734566974843607,0.851587651624962,0.824880499980928,0.553756770674397,0.0331002556889813,34.9626922491244
50,603,4,5,111,0.625576281857745,0.859533434318086,0.796613699343311,0.566883969613581,0.0382337458960429,40.9156165257617
50,603,5,1,154,0.761583956715769,0.830724822257745,0.769228597423203,0.488940790094143,0.0259187471180929,41.8201187033937
50,603,5,2,158,0.802816781459419,0.922226033134773,0.906642637751303,0.749140357408786,0.0936725815689664,33.5093896713615
50,603,5,3,108,0.719241117172689,0.846536669703142,0.77075166409078,0.572723581812537,0.0215719364785428,41.1647509578544
50,603,5,4,206,0.771708453995443,0.886029549709919,0.869733206540727,0.589761538045163,0.0815007591345638,29.6132596685083
50,603,5,5,73,0.727198408826544,0.862856960626192,0.81160532963495,0.593039385116584,0.0236024286165073,30.3759894459103
100,172,1,1,164,0.766552350774269,0.854896360196996,0.836011238741821,0.582170150878332,0.0308781555483788,34.1870503597122
100,172,1,2,91,0.730022539969111,0.833107111770894,0.741295628714718,0.555999681421386,0.0305343378262365,55.8098307816277
100,172,1,3,78,0.736706858842482,0.847110870350307,0.767582504534554,0.569649936495956,0.026228213342378,41.2359728149202
100,172,1,4,114,0.736929705710039,0.89382168659874,0.846914828315708,0.664762248332236,0.100428937407314,37.788385043755
100,172,1,5,252,0.798246461569183,0.888429994837252,0.864965181889468,0.623211180759509,0.0877675273809853,31.0819070904645
100,172,2,1,114,0.707466368165989,0.834839031867852,0.749655095345965,0.503241838582349,0.0312717658028579,31.1970110648082
100,172,2,2,117,0.746501042543004,0.859799427316725,0.805462302166417,0.59299400927256,0.0304909261703849,43.6506757760285
100,172,2,3,242,0.762995534742663,0.864704399907238,0.801868432364929,0.574178210377117,0.0806065200659852,43.2204846193504
100,172,2,4,130,0.785210643987044,0.876388986577406,0.836068105743431,0.626444505683934,0.0490968539925214,37.0231862378459
100,172,2,5,96,0.750548465627099,0.90405920869437,0.893548187853871,0.663708074669811,0.142082002911478,36.4513491414554
100,172,3,1,85,0.70495210962453,0.82466147123397,0.747034054307243,0.493260844004017,0.0352829422696826,45.9587696335079
100,172,3,2,201,0.813925797033342,0.917530057554856,0.896714174050501,0.705971487404711,0.122923341197741,29.6773216179367
100,172,3,3,88,0.643958820252613,0.830035737688595,0.754512623235149,0.574653892057649,0.0117196206231724,40.4818208690511
100,172,3,4,190,0.767090348080616,0.861286094910738,0.829144145747423,0.570156794749893,0.0552827686541851,37.0626003210273
100,172,3,5,135,0.818144015742498,0.856610359125729,0.811077320964228,0.589390118771523,0.0375182639283824,39.3576730798364
100,172,4,1,176,0.807558527494861,0.909099596886294,0.895365133917016,0.652318451610606,0.0932836659231586,31.1147836538462
100,172,4,2,130,0.7016999382384,0.855703429207703,0.813188149299261,0.562119773230884,0.0319309938422914,31.6961079994255
100,172,4,3,155,0.792378136686122,0.859147830531576,0.782154090797889,0.562115231712858,0.0550264429017517,38.7810231301705
100,172,4,4,170,0.802071759279783,0.851473913051188,0.812905782697126,0.599224918918823,0.0357542386319528,33.4936861094408
100,172,4,5,68,0.620668495593628,0.809203766793517,0.691811884687086,0.501612909438265,0.0112128428455192,62.2629169391759
100,172,5,1,44,0.671016637937495,0.717578285155027,0.69141563542902,0.385357013224236,0.00286999878622017,44.031658859635
100,172,5,2,191,0.757655494621062,0.870572456688731,0.833736702894402,0.621230541093426,0.0724079539540115,28.9624246172878
100,172,5,3,179,0.80606279847232,0.909692898322362,0.882996688042838,0.671324841685541,0.0760160417106885,24.9961401883588
100,172,5,4,106,0.805821412081774,0.898463369214139,0.849514725689037,0.618375387934084,0.0515357460019346,35.6109906001446
100,172,5,5,179,0.712690785247365,0.852778399047469,0.7807674463701,0.577572563831828,0.0434475142857001,42.6216640502355
150,88,1,1,56,0.635292534099067,0.737817488804567,0.627222279196436,0.379199569274946,0.00312834354696824,39.3306772908367
150,88,1,2,224,0.86146819491094,0.907803789401166,0.904971646952881,0.703708357779654,0.0626033492581876,37.1558978747682
150,88,1,3,188,0.765591272937968,0.856603903361161,0.807331528323046,0.536135124735255,0.0780623861392576,43.7462863933452
150,88,1,4,82,0.765406588290264,0.887825257791316,0.877905459534199,0.665382439123804,0.049040106338867,41.7839579447177
150,88,1,5,149,0.586654233417289,0.750213481738595,0.668019778206173,0.406177996913915,0.00675093962491689,32.5828642901814
150,88,2,1,109,0.649775726495642,0.775378815562418,0.59527823898675,0.454011616386031,0.00501981238520836,52.896691424713
150,88,2,2,243,0.769771039491781,0.883639021025097,0.843119063434044,0.640278754089371,0.0549789786668945,37.4646629965779
150,88,2,3,214,0.726171093751709,0.886368774590598,0.839849285538461,0.610933167874432,0.0404909946046368,34.0425531914894
150,88,2,4,78,0.617388699698355,0.728342678693313,0.700996033114867,0.431276130923111,0.00796749173021981,40.4427517257796
150,88,2,5,55,0.689414903298895,0.821475279345166,0.728186898419693,0.501593347333419,0.00443071483944071,47.7981788326616
150,88,3,1,198,0.74696946220146,0.874689465650419,0.836682195518402,0.604712182678714,0.0706359394216663,28.4450063211125
150,88,3,2,66,0.644580044587248,0.798425573444782,0.695004574170441,0.493944923689449,0.00420044356754793,40.7259354013431
150,88,3,3,72,0.778250520469106,0.868506444573055,0.849391513339281,0.611678804247349,0.0431819059682658,33.9895250135452
150,88,3,4,208,0.786904669370681,0.872420616694225,0.849088896818779,0.623884947497845,0.0741994341836651,43.4644515025654
150,88,3,5,155,0.76032116581777,0.845899606826914,0.755497349060257,0.500252186777073,0.0635006828755391,35.2128883774453
150,88,4,1,149,0.843417003253916,0.918841215918262,0.903594426897626,0.706971152411525,0.0912675053422251,32.0527974783294
150,88,4,2,113,0.722897070318069,0.843339115967538,0.774007304403869,0.545042654659064,0.0212631551677168,37.3930805566194
150,88,4,3,134,0.665152432816478,0.869042699158712,0.793799671255351,0.585523525749966,0.0894219676670569,38.4283727399166
150,88,4,4,114,0.827354159021173,0.882913882432694,0.83963099024435,0.652502752377749,0.0455938845254766,46.9106722232289
150,88,4,5,189,0.715485674802375,0.809582558829581,0.736715065470591,0.472863885945477,0.0227628134352391,40.7590019423278
150,88,5,1,90,0.602668282490347,0.832299985610476,0.699148544859343,0.547666199007123,0.0143067368280284,47.4939369442199
150,88,5,2,91,0.730610350033636,0.825906793806685,0.81724773835764,0.525298020401394,0.0420212400077454,43.0611423974256
150,88,5,3,305,0.77972438520602,0.850934179284574,0.823703140284504,0.531078179447928,0.0568701648000491,51.8862449216483
150,88,5,4,141,0.689823824417645,0.82789511696943,0.738481256274904,0.501866494968422,0.0957171372530207,24.7136999858617
