departamento,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias,cells,presences,pres_per_1000km2
Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.693585834896811,0.288275587851544,0.077287556663369,0.889291086224552,-0.208900844552849,0.696965743183398,0.280164236531081,0.0659925806992698,0.86963332075103,0.112864499668311,5286,164,7.75633749527053
Tumbes,33,0.552257266542981,0.0427522787771235,0.0513556510095275,0.352585215334438,-0.165331586295079,0.640200586163319,0.278535129466806,0.0671848011564143,0.732368356765133,-0.467467490061692,0.619347422763572,0.224726412304052,0.0627497729320857,0.612199479552897,-0.238884431666256,1160,33,7.11206896551724
Piura,118,0.691513743901598,0.301716743128049,0.0336861622787626,0.857142857142857,0.129708198095343,0.783153428890914,0.453491693919597,0.0739815591911002,0.915507024838981,-0.388137013616557,0.794614546554643,0.476569117770953,0.0594463276137052,0.943112757309172,-9.46518214912623e-05,8970,118,3.28874024526198
Pasco,29,0.621112081985522,0.371151141999063,0.00885973374485385,0.493728171165877,0.0379932310713968,0.732785528698983,0.405652417959505,0.0144789334030706,0.900040968071763,-0.449755200492042,0.578371457835439,0.159095775153202,0.00693638584013993,0.458780370815443,0.300852269802478,5988,29,1.21075484301937
Arequipa,64,0.736109347218695,0.396252698755398,0.0592517274115218,0.523809523809524,0.014993745453828,0.87918574977775,0.627798371221743,0.065459813300297,0.845830506252335,-0.276733585521299,0.880240943294387,0.611266906908814,0.0745242027892607,0.825689389268513,0.066980794578062,15812,64,1.01188970402226
Cajamarca,21,0.634296513045599,0.335493085310203,0.00348085275470395,0.533333333333333,-0.0780475976844464,0.68693291996145,0.353828334552548,0.00735140181221775,0.677170648765766,-0.517016692755199,0.666328769986414,0.365747030341032,0.00694127446283283,0.522837831627424,-0.129372621349717,8223,21,0.638453119299526
Ancash,21,0.551424744470843,0.0779583180520787,0.00286229428579942,0.116666666666667,-0.0358461238773538,0.711073195881768,0.345823035096391,0.00749383815797726,0.793085390013068,-0.322910607439716,0.629257357591993,0.281387697393948,0.00405147936723634,0.712304067050709,-0.0181108208552175,8980,21,0.584632516703786
Junín,26,0.644432297036417,0.412839656520506,0.00547924808252503,0.547114989312058,-0.0840094744217818,0.770321960130362,0.455836176057459,0.0110915741771771,0.822057557361261,-0.533858604235966,0.673838577092602,0.368805225538157,0.00530710176621392,0.572020780782032,-0.171163804296466,11143,26,0.583325854796733
Amazonas,22,0.79263462476194,0.579785814832875,0.00630107845345412,0.774645569002855,-0.153254503209983,0.8222313715027,0.546063611522573,0.0496272342828652,0.811408800415371,-0.552154282496296,0.633467352402683,0.273597629978563,0.0177383564875416,0.446394882606566,0.0176906412293754,9903,22,0.555387256386953
Puno,23,0.654122880737064,0.317272307180294,0.00462633355212004,0.510464719340991,-0.330763349858428,0.818312634530249,0.548618363872747,0.0130891687108424,0.781143267615351,-0.607786119029684,0.787953152946078,0.541467280567547,0.0186076316541312,0.753710085367653,-0.279459265126012,18182,23,0.316246837531625
Cusco,19,0.565959408248463,0.246456171469081,0.00127023504098325,0.163636363636364,-0.18484125712971,0.831301217402466,0.575444236665607,0.00799320118769132,0.861210031247922,-0.499578253017747,0.682983204922122,0.337248489551577,0.00268048500682308,0.752360540309594,-0.0244215369033124,18060,19,0.263012181616833
Ucayali,19,0.47116820734272,0.172575765777144,0.000698270643227315,-0.164887544065348,0.00783594613838112,0.615730733530203,0.241302948835923,0.00159392761670772,0.612947873728891,-0.579088904452951,0.50716168778706,0.0777178347537223,0.000930319820532997,0.0694772299699976,0.00870539602707664,26272,19,0.180800852618758
Loreto,55,0.475154080330152,0.00899175879825576,0.000590567141471207,-0.314285714285714,-0.080731606267306,0.779144157547198,0.482229708839302,0.00207064560646878,0.907002342246022,-0.26926687352099,0.675586755536861,0.342649338464983,0.00122800100196355,0.743030303030303,-0.0835030161714597,93852,55,0.146507266760431
