rep,departamento,n_test_pres,base_AUC,base_TSS,base_PR,base_Boyce,base_rhoVias,all_obs_AUC,all_obs_TSS,all_obs_PR,all_obs_Boyce,all_obs_rhoVias,all_neu_AUC,all_neu_TSS,all_neu_PR,all_neu_Boyce,all_neu_rhoVias
1,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.704993881010657,0.326518318873154,0.0748348700354945,0.939393939393939,-0.262239329422913,0.703854010914182,0.271475985942991,0.0645761462730118,0.915151515151515,0.106774559465381
2,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.690094022914068,0.306754221388368,0.0675226613423262,0.903030303030303,-0.18515443317416,0.704856977552595,0.324415957943258,0.0604203974606917,0.911858315520097,0.136785463698846
3,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.685676803078066,0.295761468938391,0.083869577924217,0.903030303030303,-0.196764480589884,0.704585551566176,0.302639974857383,0.0743274099220646,0.915151515151515,0.128402740907333
4,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.694558861344178,0.286013942724355,0.073755406694705,0.917937370956898,-0.203636388699251,0.693015423662632,0.26713555108999,0.0636567715295185,0.875383982899293,0.105260945057492
5,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.696849315720803,0.304185198236207,0.07912503773218,0.903030303030303,-0.221571668641595,0.688497014314149,0.26504033294921,0.0679800712831986,0.76969696969697,0.114998972642578
6,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.690132713021781,0.276883077304026,0.0733494075525188,0.866666666666667,-0.240645971416084,0.693874344053866,0.27566642222455,0.0619163653614149,0.842424242424242,0.113768648019716
7,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.700947490976276,0.273714059866097,0.0847433786776129,0.939393939393939,-0.167218279768775,0.691450557613737,0.260161807982781,0.0667142523861931,0.806060606060606,0.123314446434035
8,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.691529128294016,0.24373577394501,0.082352502832191,0.781818181818182,-0.203769886841709,0.703106994219103,0.270295044809097,0.0676572004958215,0.878787878787879,0.0926634423157225
9,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.69308268492681,0.293568632679689,0.0758107891266035,0.893621149209695,-0.193702933935557,0.683527418786488,0.252364263197493,0.0640194822907613,0.842424242424242,0.101847753878964
10,Ica,164,0.604679955428996,0.202988542966257,0.053593075250293,0.416666666666667,0.13474764964675,0.687993447681451,0.275621184560147,0.0775119347158408,0.84498870571529,-0.214305073038559,0.702889139151056,0.312447024314054,0.068657709990022,0.939393939393939,0.104828024263039
