uni,celdas,presencias,Wmas,Wmenos,contraste,s_contraste,C_estudentizado
Formación Palegreda,6,5,7.4331340043741,-0.00645702909756365,7.43959103347166,0.921915308030063,8.07
Formación Chilcatay,83,24,5.24654782524294,-0.0340161083121653,5.2805639335551,0.243118359166935,21.72
Grupo Los Choros - Formación Yumaque,86,18,4.82478800705994,-0.0251450921876588,4.8499330992476,0.264807568172809,18.31
Formación Zorritos,43,6,4.38131226416907,-0.00778627740208524,4.38909854157115,0.426565216364852,10.29
Formación Pisco,512,50,3.91917779957267,-0.0720153623062625,3.99119316187894,0.153319583125201,26.03
Grupo Talara,235,18,3.66942290179938,-0.0246827082021116,3.69410561000149,0.245198308721591,15.07
Formación Heath,81,5,3.50130837164977,-0.00622436057470356,3.50753273222448,0.443094870947668,7.92
Batolito de San Nicolás,210,11,3.28038381928313,-0.0145195109933156,3.29490333027644,0.305654363104474,10.78
Formación Tablazo Máncora,157,8,3.26662079090937,-0.0103268556349843,3.27694764654435,0.354662172980111,9.24
Depósito marino,171,8,3.1771041934028,-0.0102834083404251,3.18738760174323,0.353853785931669,9.01
Depósito residual,546,23,3.03031441108336,-0.0310962468399034,3.06141065792326,0.214347182583643,14.28
Formación Verdún,157,6,2.98506757219601,-0.00743256034411568,2.99250013254012,0.40235789828117,7.44
Formación Tablazo Talara,323,9,2.63415874270984,-0.0112618564734172,2.64542059918326,0.33150284909345,7.98
Depósito antropógeno,543,6,1.71872443714361,-0.00623395691501648,1.72495839405863,0.396423620741,4.35
Complejo Basal de la Costa,855,7,1.40528395611182,-0.00671019829897639,1.4119941544108,0.36872623597299,3.83
Depósito fluvial,4563,37,1.34048766030471,-0.0394931621257888,1.3799808224305,0.168523493657691,8.19
Grupo Goyllarisquizga - Formación Chimú,920,7,1.33147066496804,-0.00650802414858561,1.33797868911663,0.368612503980101,3.63
Río,1849,13,1.2209238404285,-0.0123347441432611,1.23325858457176,0.275823080936297,4.47
Depósito eólico,4507,31,1.17724179600122,-0.0306346132777495,1.20787640927897,0.182943850446459,6.6
Grupo Pucará - Formación Chambará,1583,10,1.12416856090285,-0.00879440182546347,1.13296296272832,0.311972858666781,3.63
Formación Moquegua - Miembro Superior,1009,6,1.09440402890904,-0.00478502152002698,1.09918905042906,0.395332440709816,2.78
Depósito coluvial,921,5,1.0180370452025,-0.00361476791418474,1.02165181311669,0.42936264953591,2.38
Depósito aluvial,44248,120,0.23063966197131,-0.0402855399287861,0.270925201900096,0.100252858370904,2.7
Sin denominación,3532,6,-0.162407959502804,0.00309641412490594,-0.165504373627709,0.394429738188025,-0.42
Formación Yahuarango,4217,5,-0.507212462178353,0.00669107197583917,-0.513903534154192,0.428367363708699,-1.2
Formación Ipururo - Miembro medio,7065,6,-0.856476309304149,0.0142383710578965,-0.870714680362046,0.394249843780393,-2.21
Formación Chambira,9531,8,-0.887600523538504,0.0191950954702122,-0.906795619008717,0.345255543223301,-2.63
Formación Pebas,20562,13,-1.19405118303991,0.0478164864282114,-1.24186766946812,0.274923106248641,-4.52
Formación Ipururo,17215,6,-1.74756363876188,0.0469566832602216,-1.7945203220221,0.39414400813173,-4.55
